Redshift,Frac. Massa,Erro
0.078,0.131,0.003
0.08800000000000001,0.128,0.008
0.10300000000000001,0.11900000000000001,0.004
0.10300000000000001,0.125,0.009000000000000001
0.152,0.131,0.008
0.20800000000000002,0.111,0.015
0.214,0.109,0.006
0.215,0.10800000000000001,0.006999999999999999
0.235,0.14,0.016
0.235,0.127,0.012
0.23600000000000002,0.13,0.01
0.252,0.12,0.006999999999999999
0.253,0.142,0.013000000000000001
0.313,0.13699999999999998,0.011000000000000001
0.314,0.125,0.027999999999999997
0.318,0.131,0.024
0.324,0.133,0.016
0.345,0.10400000000000001,0.011000000000000001
0.35200000000000004,0.11199999999999999,0.011000000000000001
0.355,0.145,0.017
0.363,0.152,0.021
0.363,0.10800000000000001,0.006
0.37799999999999995,0.138,0.022000000000000002
0.391,0.132,0.016
0.39899999999999997,0.094,0.02
0.40399999999999997,0.10800000000000001,0.013999999999999999
0.423,0.166,0.023
0.442,0.096,0.012
0.447,0.095,0.02
0.451,0.115,0.013000000000000001
0.46,0.115,0.021
0.461,0.121,0.02
0.48700000000000004,0.14400000000000002,0.017
0.539,0.14300000000000002,0.012
0.5760000000000001,0.121,0.019
0.596,0.157,0.025
0.7020000000000001,0.081,0.023
0.723,0.156,0.017
1.028,0.11699999999999999,0.015
1.063,0.11699999999999999,0.019
